Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,8,934,37599,Week6,1543794.26,,37.19,0.3719,647863.51,647863.51,183005.28,895930.75,895930.75,114945.6164,628069.4059,History,0.66333082,2024-12-25,0,0,0.489641936
Forever 21,8,934,37599,Week7,1543794.26,,40.02,0.4002,440853.37,440853.37,207010.14,1102940.89,1102940.89,124164.682,752234.0879,History,0.66333082,2025-01-01,0,0,0.489641936
Forever 21,8,934,37599,Week8,1543794.26,0.030284166,31.1044573,0.4193,268607.3884,329399.93,172245.9816,1214394.33,1275186.872,118669.8038,870903.8917,Future_Plan,0.66333082,2025-01-08,-60792.54163,-10.8255427,0.489641936
Forever 21,8,934,37599,Week9,1543794.26,0.030284166,33.93977215,0.4436,140595.6849,225614.7,128011.7035,1318179.56,1403198.575,84564.823,955468.7147,Future_Plan,0.66333082,2025-01-15,-85019.01512,-10.42022785,0.489641936
Forever 21,8,934,37599,Week10,1543794.26,0.030284166,51.2235399,0.4663,-6.34465E-05,127350.65,140595.6849,1416443.61,1543794.26,68577.59817,1024046.313,Future_Plan,0.66333082,2025-01-22,-127350.6501,4.593539901,0.489641936
Forever 21,9,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.652566771,2024-11-20,0,0,0.489641936
Forever 21,9,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.652566771,2024-11-27,0,0,0.489641936
Forever 21,9,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.652566771,2024-12-04,0,0,0.489641936
Forever 21,9,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.652566771,2024-12-11,0,0,0.489641936
Forever 21,9,934,37599,Week5,1543794.26,,34.55,0.3455,830868.79,830868.79,197122.52,712925.47,712925.47,129016.6893,513123.7895,History,0.652566771,2024-12-18,0,0,0.489641936
Forever 21,9,934,37599,Week6,1543794.26,,37.19,0.3719,647863.51,647863.51,183005.28,895930.75,895930.75,114945.6164,628069.4059,History,0.652566771,2024-12-25,0,0,0.489641936
Forever 21,9,934,37599,Week7,1543794.26,,40.02,0.4002,440853.37,440853.37,207010.14,1102940.89,1102940.89,124164.682,752234.0879,History,0.652566771,2025-01-01,0,0,0.489641936
Forever 21,9,934,37599,Week8,1543794.26,,41.93,0.4193,329399.93,329399.93,111453.44,1214394.33,1214394.33,64721.01261,816955.1005,History,0.652566771,2025-01-08,0,0,0.489641936
Forever 21,9,934,37599,Week9,1543794.26,0.031750828,34.30176805,0.4436,164699.5492,225614.7,164700.3808,1318179.56,1379094.711,108205.2382,925160.3387,Future_Plan,0.652566771,2025-01-15,-60915.1508,-10.05823195,0.489641936
Forever 21,9,934,37599,Week10,1543794.26,0.031750828,50.04934928,0.4663,-7.79234E-05,127350.65,164699.5493,1416443.61,1543794.26,82268.4966,1007428.835,Future_Plan,0.652566771,2025-01-22,-127350.6501,3.419349275,0.489641936
Forever 21,10,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.640246051,2024-11-20,0,0,0.489641936
Forever 21,10,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.640246051,2024-11-27,0,0,0.489641936
Forever 21,10,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.640246051,2024-12-04,0,0,0.489641936
Forever 21,10,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.640246051,2024-12-11,0,0,0.489641936
Forever 21,10,934,37599,Week5,1543794.26,,34.55,0.3455,830868.79,830868.79,197122.52,712925.47,712925.47,129016.6893,513123.7895,History,0.640246051,2024-12-18,0,0,0.489641936
Forever 21,10,934,37599,Week6,1543794.26,,37.19,0.3719,647863.51,647863.51,183005.28,895930.75,895930.75,114945.6164,628069.4059,History,0.640246051,2024-12-25,0,0,0.489641936
Forever 21,10,934,37599,Week7,1543794.26,,40.02,0.4002,440853.37,440853.37,207010.14,1102940.89,1102940.89,124164.682,752234.0879,History,0.640246051,2025-01-01,0,0,0.489641936
Forever 21,10,934,37599,Week8,1543794.26,,41.93,0.4193,329399.93,329399.93,111453.44,1214394.33,1214394.33,64721.01261,816955.1005,History,0.640246051,2025-01-08,0,0,0.489641936
Forever 21,10,934,37599,Week9,1543794.26,,44.36,0.4436,225614.7,225614.7,103785.23,1318179.56,1318179.56,57746.10197,874701.2025,History,0.640246051,2025-01-15,0,0,0.489641936
Forever 21,10,934,37599,Week10,1543794.26,0.032377816,49.60125576,0.4663,-0.000108852,127350.65,225614.7001,1416443.61,1543794.26,113706.9757,988408.1781,Future_Plan,0.640246051,2025-01-22,-127350.6501,2.971255763,0.489641936
Forever 21,3,934,37601,Week1,4088217.28,,20.88,0.2088,3834847.72,3834847.72,253369.56,253369.56,253369.56,200465.9959,200465.9959,History,0.734251067,2024-11-20,0,0,0.501895264
Forever 21,3,934,37601,Week2,4088217.28,,22.78,0.2278,3477213.43,3477213.43,357634.29,611003.85,611003.85,276165.1987,476631.1946,History,0.734251067,2024-11-27,0,0,0.501895264
Forever 21,3,934,37601,Week3,4088217.28,0.046041725,23.6676583,0.2702,2815415.716,3040710.82,661797.7141,1047506.46,1272801.564,505165.6924,981796.8871,Future_Plan,0.734251067,2024-12-04,-225295.1041,-3.352341695,0.501895264
Forever 21,3,934,37601,Week4,4088217.28,0.046041725,24.10909525,0.3143,2222352.126,2598073.31,593063.59,1490143.97,1865865.154,450081.3242,1431878.211,Future_Plan,0.734251067,2024-12-11,-375721.184,-7.320904752,0.501895264
Forever 21,3,934,37601,Week5,4088217.28,0.046041725,24.86665218,0.3538,1676702.67,1984604.49,545649.4564,2103612.79,2411514.61,409964.7039,1841842.915,Future_Plan,0.734251067,2024-12-18,-307901.8204,-10.51334782,0.501895264
Forever 21,3,934,37601,Week6,4088217.28,0.046041725,26.1629861,0.4038,1164950.628,1216383.89,511752.0418,2871833.39,2923266.652,377862.4262,2219705.341,Future_Plan,0.734251067,2024-12-25,-51433.26225,-14.2170139,0.501895264
Forever 21,3,934,37601,Week7,4088217.28,0.046041725,28.36556772,0.434,691253.7344,690312.17,473696.8934,3397905.11,3396963.546,339330.0803,2559035.422,Future_Plan,0.734251067,2025-01-01,941.564362,-15.03443228,0.501895264
